TT_common_0001|{z ao3 z ai4 y i4 b ai3 w uan4 n ian2 q ian2 sp l an2 t ian2 g u3 r en2 l ei4 j iou4 z ai4 zh e4 l i3 j ian4 z ao4 l e5 j v4 l uo4 sp}|早在一百万年前，蓝田古人类就在这里建造了聚落。
TT_common_0002|{z ong3 j i4 er4 sh iii2 g e4 l i3 ch eng2 b ei1 r en4 w u5 sp w uan2 ch eng2 l i3 ch eng2 b ei1 y i1 c ai2 k e3 j ie2 s uo3 l i3 ch eng2 b ei1 er4 sp y i2 c ii3 l ei4 t uei1 sp}|总计二十个里程碑任务，完成里程碑一才可解锁里程碑二，以此类推。
TT_common_0003|{w uei4 n in2 sh u1 l i3 z ong3 sh u1 j i4 g uan1 y v2 g ou4 j ian4 x in1 f a1 zh an3 g e2 j v2 zh ong4 y iao4 l uen4 sh u4 sp r ang4 w uo3 m en5 c ong2 zh ong1 x vn2 zh ao3 d a2 an4 sp}|为您梳理总书记关于构建新发展格局重要论述，让我们从中寻找答案。
TT_common_0004|{sh eng1 h uo2 sh uei3 p ing2 g ao1 l e5 sp ch u2 l e5 ch iii1 ch uan1 d e5 h ua1 f ei4 sp z ii4 r an2 h uei4 b a3 y ian3 g uang1 zh uan3 x iang4 zh u4 d e5 f ang1 m ian4 sp k ai1 sh iii3 zh uei1 q iou2 j v1 sh iii4 d e5 sh u1 sh iii4 y v3 p iao4 l iang5 sp}|生活水平高了，除了吃穿的花费，自然会把眼光转向住的方面，开始追求居室的舒适与漂亮。
TT_common_0005|{f ei2 n iou2 j ie3 l e5 n i4 sp j in1 zh en1 g u1 x i1 b ao3 l e5 t ang1 zh iii1 sp sh iii2 z ai4 w uen1 n uan3 y iou4 k ai1 w uei4 sp}|肥牛解了腻，金针菇吸饱了汤汁，实在温暖又开胃。
TT_common_0006|{b ai2 b ai2 sp z ai4 y ie3 b u2 j ian4 sp}|拜拜，再也不见。
TT_common_0007|{x in1 l ang4 w uei1 b o2 sh ang4 j i2 y iou3 y i2 w uei4 r en4 zh eng4 w uei2 q ian2 h ua2 n a4 y in1 y ve4 sp h uan2 q iou2 y in1 y ve4 zh ong1 g uo2 q v1 sh iii4 ch ang3 z ong3 j ian1 d e5 w uang2 y iou3 f a1 b o2 ch eng1 j iang1 h u2 ch uan2 w uen2 sp}|新浪微博上即有一位认证为前华纳音乐、环球音乐中国区市场总监的网友发博称“江湖传闻”。
TT_common_0008|{r an2 h ou4 zh e4 l iang3 g e4 z ii3 k ong1 j ian1 b ei4 l iang3 g e4 z ii3 j ie2 d ian3 s uo3 d ai4 b iao3 sp b ing4 q ie3 x iang1 y ing4 z ii3 k ong1 j ian1 sh ang4 d e5 y iang4 b en3 y ie3 q v4 x iang1 d uei4 y ing4 d e5 j ie2 d ian3 sp}|然后这两个子空间被两个子节点所代表，并且相应子空间上的样本也去相对应的节点。
TT_common_0009|{q ing1 ch en2 sp ch uang1 w uai4 t ian1 s e4 y i1 d ian3 y i1 d ian3 b ian4 l iang4 sp j i1 j i1 zh a1 zh a1 d e5 n iao3 j iao4 sh eng1 y ie3 y ve4 l ai2 y ve4 x iang3 sp}|清晨，窗外天色一点一点变亮，叽叽喳喳的鸟叫声也越来越响。
TT_common_0010|{g ong1 zh ong4 h ao4 x ia4 d an1 h ou4 sp j i1 h u1 m ei2 y iou3 y i2 c ii4 sh iii4 z ai4 g uei1 d ing4 d e5 sh iii2 j ian1 d ao4 d e5 sp x i1 w uang4 x iao3 g e1 g e5 k e2 y i3 zh uen3 sh iii2 a5 sp}|公众号下单后，几乎没有一次是在规定的时间到的，希望小哥哥可以准时啊！
TT_common_0011|{y i2 l i4 ch en2 k e3 t ian2 h ai3 sp y i4 g en1 c ao3 zh an3 j in4 r iii4 y ve4 x ing1 ch en2 sp t an2 zh iii3 j ian1 t ian1 f an1 d i4 f u4 sp}|一粒尘可填海，一根草斩尽日月星辰，弹指间天翻地覆。
TT_common_0012|{n i3 w uen4 w uo3 sh uo1 ai4 y iou3 m ei2 y iou3 q i1 x ian4 sp sh an1 j iao3 d e5 y ie2 c ao3 y i4 n ian2 y iou4 y i4 n ian2 sp w uo2 x iang3 p ei2 n i3 d e5 sp b u4 zh iii3 n an2 f ang1 d e5 d ong1 t ian1 sp}|你问我说爱有没有期限，山脚的野草一年又一年，我想陪你的，不止南方的冬天。
TT_common_0013|{x vn2 x vn2 m i4 m i4 sp l eng2 l eng3 q ing1 q ing1 sp q i1 q i1 c an2 c an3 q i1 q i1 sp}|寻寻觅觅，冷冷清清，凄凄惨惨戚戚。
TT_common_0014|{b ao2 b ao2 d e5 y v3 m u4 zh e2 sh e4 zh e5 x ian4 ch ang3 d e5 d eng1 g uang1 sp l i4 j ing1 l e5 d uo1 sh ao3 f eng1 y v3 sp l i4 j ing1 l e5 d uo1 sh ao3 k an2 k e3 sp t a1 m en5 zh ong1 y v2 b o1 y vn2 j ian4 r iii4 sp d eng3 l ai2 l e5 zh e4 y i4 t ian1 sp}|薄薄的雨幕折射着现场的灯光，历经了多少风雨，历经了多少坎坷，他们终于拨云见日，等来了这一天。
TT_common_0015|{zh e4 sh ou3 g e1 sp w uo3 z ai4 t ai2 sh ang4 ch ang4 sp b iao3 b ai2 l e5 h ao2 j i3 n ian2 d e5 x in1 ai4 n v3 h ai2 h e2 t a1 n an2 p eng2 y iou5 z uo4 z ai4 d i3 x ia4 t ing1 sp ch ang4 zh e5 ch ang4 zh e5 w uo3 k u1 l e5 sp}|这首歌，我在台上唱，表白了好几年的心爱女孩和她男朋友坐在底下听，唱着唱着我哭了。
TT_common_0016|{d uei4 y v2 c ii3 c ii4 t ing2 f u2 g ei3 d a4 j ia1 z ao4 ch eng2 d e5 b u2 b ian4 sp w uo3 m en5 sh en1 b iao3 q ian4 y i4 sp}|对于此次停服给大家造成的不便，我们深表歉意。
